"","Number","district_n","subdistr","statistics","suco_name","stat_sucoc","ea_codes","ele_eemean","pop_eemean","pre_eemean","tmax_eemean","tmin_eemean","rh_tmax_eemean","rh_tmin_eemean","mir_eemean","evi_eemean","district","sampled"
"1",1,"Bobonaro","Atabae",401,"Aidabaleten",40101,40101102,47.7534294128418,76.0611343383789,100.286804199219,30.1398601531982,22.9732608795166,64.9501419067383,98.8624801635742,1197.29748535156,3284.75390625,NA,NA
"2",2,"Bobonaro","Balibo",402,"Leolima",40205,40205072,184.49821472168,109.108406066895,117.041084289551,29.4957733154297,22.3277263641357,63.9468002319336,97.5074615478516,1136.91540527344,4110.44921875,NA,NA
"3",3,"Bobonaro","Bobonaro",403,"Cota Bo'ot",40306,40306022,1410.47607421875,8.73084449768066,187.395751953125,24.1249198913574,16.6275482177734,68.0450210571289,107.897216796875,1342.48522949219,3439.7900390625,NA,NA
"4",4,"Bobonaro","Cailaco",404,"Meligo",40406,40406042,491.136260986328,61.5260887145996,133.49430847168,28.6927680969238,21.3428134918213,63.4378929138184,98.0404663085938,1190.60900878906,3811.58984375,NA,NA
"5",5,"Bobonaro","Lolotoe",405,"Lebos",40504,40504042,864.040771484375,77.8555221557617,167.311996459961,25.9432106018066,18.6644306182861,66.3364105224609,103.03524017334,1127.17102050781,4159.791015625,NA,NA
"6",6,"Bobonaro","Maliana",406,"Ritabou",40605,40605122,707.998046875,62.4554252624512,169.808471679688,26.8711566925049,19.5175514221191,64.1138916015625,99.6704177856445,1204.03332519531,3958.64306640625,NA,NA
"7",7,"Bobonaro","Lolotoe",405,"Opa",40507,40507022,459.047088623047,19.425910949707,157.362335205078,28.1724548339844,20.6661834716797,64.2718200683594,100.488227844238,863.292785644531,4798.77197265625,NA,NA
"8",8,"Bobonaro","Lolotoe",405,"Guda",40503,40503032,563.318298339844,45.8854713439941,171.210021972656,27.0722751617432,19.6166687011719,64.7717361450195,101.358367919922,971.296936035156,4672.81591796875,NA,NA
"9",9,"Bobonaro","Lolotoe",405,"Deudet",40501,40501032,568.3115234375,22.4386672973633,159.420166015625,27.3699073791504,19.9486274719238,65.330810546875,101.90852355957,923.101989746094,4610.978515625,NA,NA
"10",10,"Bobonaro","Lolotoe",405,"Gildapil",40502,40502022,1219.22546386719,43.0092964172363,171.78337097168,24.5063571929932,17.1333141326904,67.2735290527344,105.685554504395,1129.43249511719,3886.033203125,NA,NA
"11",11,"Bobonaro","Lolotoe",405,"Lontas",40505,40505032,1197.12976074219,40.4238357543945,176.609725952148,24.3183040618896,16.9193286895752,67.8551712036133,106.839202880859,1099.57470703125,3937.69165039062,NA,NA
